country,region,city,priority,focus,notes
"United States","Texas","San Antonio","2","truck equipment | off-road fabrication | tubular assemblies","Strong truck and fabrication market."
"United States","Texas","Austin","2","custom fabrication | tubular assemblies | motorsport fabrication","Broader custom fabrication market."
"United States","Texas","El Paso","2","metal fabrication | tubular assemblies | truck equipment","Border-region manufacturing and truck market."
"United States","Texas","Lubbock","3","agricultural fabrication | truck equipment | tubular assemblies","West Texas coverage."
"United States","Texas","Midland","2","oilfield fabrication | tubular assemblies | truck equipment","Permian Basin industrial target."
"United States","Texas","Odessa","2","oilfield fabrication | tubular assemblies | truck equipment","Permian Basin industrial target."
"United States","Texas","Corpus Christi","3","industrial fabrication | tubular assemblies","Coastal industrial coverage."
"United States","Oklahoma","Tulsa","2","oilfield fabrication | tubular assemblies | truck equipment","Useful for industrial repeat tube work."
"United States","Oklahoma","Oklahoma City","2","truck equipment | metal fabrication | tubular assemblies","Large central plains industrial market."
"United States","Kansas","Wichita","2","metal fabrication | tubular assemblies | industrial manufacturing","Aerospace-adjacent manufacturing region."
"United States","Kansas","Topeka","3","metal fabrication | tubular assemblies | truck equipment","Secondary Kansas target."
"United States","Missouri","Kansas City","2","metal fabrication | tubular assemblies | contract manufacturing","Central US manufacturing search target."
"United States","Missouri","St. Louis","2","metal fabrication | tubular assemblies | industrial manufacturing","Major central industrial market."
"United States","Nebraska","Omaha","2","metal fabrication | truck equipment | tubular assemblies","Plains industrial and trucking market."
"United States","Nebraska","Lincoln","3","metal fabrication | tubular assemblies | agricultural fabrication","Secondary Nebraska target."
"United States","South Dakota","Sioux Falls","3","metal fabrication | tubular assemblies | truck equipment","Regional industrial market."
"United States","North Dakota","Fargo","3","agricultural fabrication | truck equipment | tubular assemblies","Upper plains industrial target."
"United States","Minnesota","Minneapolis","2","metal fabrication | tubular assemblies | contract manufacturing","Large upper midwest manufacturing market."
"United States","Minnesota","Duluth","3","industrial fabrication | tubular assemblies","Northern Minnesota industrial coverage."
"United States","Iowa","Des Moines","3","metal fabrication | agricultural fabrication | tubular assemblies","Central Iowa coverage."
"United States","Wisconsin","Milwaukee","2","metal fabrication | tubular assemblies | industrial manufacturing","Strong industrial fabrication market."
"United States","Wisconsin","Green Bay","3","metal fabrication | tubular assemblies | truck equipment","Regional Wisconsin market."
"United States","Illinois","Chicago","2","contract manufacturing | tubular assemblies | metal fabrication","Large broad-market industrial coverage."
"United States","Illinois","Rockford","2","metal fabrication | tubular assemblies | industrial manufacturing","Northern Illinois industrial target."
"United States","Michigan","Detroit","2","automotive fabrication | tubular assemblies | contract manufacturing","Automotive-adjacent repeat fabrication."
"United States","Michigan","Grand Rapids","2","metal fabrication | tubular assemblies | industrial manufacturing","Western Michigan industrial market."
"United States","Michigan","Flint","3","automotive fabrication | tubular assemblies","Secondary Michigan automotive market."
"United States","Indiana","Indianapolis","1","motorsport fabrication | chassis | race fabrication","Very strong motorsport fit."
"United States","Indiana","Fort Wayne","2","metal fabrication | tubular assemblies | industrial manufacturing","Northeast Indiana industrial target."
"United States","Ohio","Cleveland","2","metal fabrication | tubular assemblies | industrial manufacturing","Broader industrial repeat fabrication."
"United States","Ohio","Columbus","2","metal fabrication | tubular assemblies | contract manufacturing","Central Ohio manufacturing market."
"United States","Ohio","Cincinnati","2","metal fabrication | tubular assemblies | industrial manufacturing","Southern Ohio industrial target."
"United States","Kentucky","Louisville","2","metal fabrication | truck equipment | tubular assemblies","Logistics and industrial market."
"United States","Kentucky","Lexington","3","metal fabrication | tubular assemblies | motorsport","Secondary Kentucky market."
"United States","Tennessee","Knoxville","1","race fabrication | roll cage | chassis","Good motorsport and fabrication adjacency."
"United States","Tennessee","Nashville","2","custom fabrication | tubular assemblies | truck equipment","Growing custom fabrication market."
"United States","Tennessee","Chattanooga","2","metal fabrication | tubular assemblies | truck equipment","Industrial southeast target."
"United States","North Carolina","Charlotte","1","motorsport fabrication | race fabrication | tubular assemblies","Strong racing ecosystem."
"United States","North Carolina","Greensboro","2","metal fabrication | tubular assemblies | industrial manufacturing","Piedmont manufacturing target."
"United States","North Carolina","Raleigh","2","custom fabrication | tubular assemblies | contract manufacturing","Broader RTP area coverage."
"United States","South Carolina","Greenville","2","metal fabrication | tubular assemblies | motorsport fabrication","Strong manufacturing and motorsport adjacency."
"United States","South Carolina","Charleston","3","industrial fabrication | tubular assemblies","Coastal industrial target."
"United States","Georgia","Atlanta","2","truck equipment | metal fabrication | tubular assemblies","Large southeast fabrication market."
"United States","Georgia","Savannah","3","industrial fabrication | tubular assemblies","Port and industrial coverage."
"United States","Alabama","Birmingham","2","metal fabrication | tubular assemblies | industrial manufacturing","Strong industrial southeast target."
"United States","Alabama","Huntsville","2","metal fabrication | tubular assemblies | contract manufacturing","High-tech manufacturing adjacency."
"United States","Mississippi","Jackson","3","metal fabrication | tubular assemblies | truck equipment","Lower-priority regional coverage."
"United States","Florida","Orlando","3","motorsport fabrication | custom fabrication | tubular assemblies","Lower priority, but still useful for coverage."
"United States","Florida","Tampa","3","metal fabrication | tubular assemblies | custom fabrication","Central Florida coverage."
"United States","Florida","Jacksonville","3","truck equipment | metal fabrication | tubular assemblies","North Florida truck and fabrication market."
"United States","Florida","Miami","3","custom fabrication | tubular assemblies | marine fabrication","South Florida broad-market coverage."
"United States","Virginia","Richmond","2","metal fabrication | tubular assemblies | truck equipment","Mid-Atlantic industrial coverage."
"United States","Virginia","Virginia Beach","3","industrial fabrication | tubular assemblies | marine fabrication","Coastal Virginia coverage."
"United States","Maryland","Baltimore","2","metal fabrication | tubular assemblies | industrial manufacturing","Mid-Atlantic industrial market."
"United States","Pennsylvania","Pittsburgh","2","metal fabrication | industrial manufacturing | tubular assemblies","Industrial fabrication search target."
"United States","Pennsylvania","Philadelphia","2","metal fabrication | tubular assemblies | contract manufacturing","Large northeast manufacturing coverage."
"United States","Pennsylvania","Allentown","3","metal fabrication | tubular assemblies | industrial manufacturing","Eastern Pennsylvania industrial target."
"United States","New Jersey","Newark","2","metal fabrication | tubular assemblies | contract manufacturing","Northeast industrial coverage."
"United States","New York","Buffalo","2","metal fabrication | tubular assemblies | industrial manufacturing","Western New York industrial target."
"United States","New York","Rochester","2","metal fabrication | tubular assemblies | contract manufacturing","Upstate manufacturing target."
"United States","New York","Syracuse","3","metal fabrication | tubular assemblies | industrial manufacturing","Secondary upstate target."
"United States","New York","Albany","3","metal fabrication | tubular assemblies | truck equipment","Capital region coverage."
"United States","Massachusetts","Boston","3","custom fabrication | tubular assemblies | contract manufacturing","Broader northeast coverage."
"United States","Connecticut","Hartford","3","metal fabrication | tubular assemblies | industrial manufacturing","Regional New England industrial target."
"United States","Rhode Island","Providence","3","metal fabrication | tubular assemblies | custom fabrication","New England coverage."
"United States","New Hampshire","Manchester","3","metal fabrication | tubular assemblies","Secondary New England target."
"United States","Maine","Portland","3","metal fabrication | marine fabrication | tubular assemblies","Northern New England coverage."
